
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
  3.95054564E-01  1.23716349E+00  8.00494457E-02  7.35304671E-04  5.75397491E-02 -4.09451842E-03  6.28442805E-03
  4.04120517E-01  1.23385583E+00  8.08161900E-02  7.84431739E-04  5.79844660E-02 -4.10479139E-03  6.34568077E-03
  4.13141641E-01  1.23050907E+00  8.15830933E-02  8.30701653E-04  5.84203785E-02 -4.11546491E-03  6.40723136E-03
  4.22040086E-01  1.22715508E+00  8.23465789E-02  8.72843865E-04  5.88458712E-02 -4.12634116E-03  6.46859630E-03
  4.30817370E-01  1.22379726E+00  8.31068334E-02  9.10159404E-04  5.92617002E-02 -4.13738846E-03  6.52977162E-03
  4.39475141E-01  1.22043906E+00  8.38629339E-02  9.42281160E-04  5.96688333E-02 -4.14856228E-03  6.59071931E-03
  4.48015027E-01  1.21708367E+00  8.46136483E-02  9.69301339E-04  6.00683757E-02 -4.15981257E-03  6.65136694E-03
  4.56438634E-01  1.21373366E+00  8.53583816E-02  9.91766046E-04  6.04615047E-02 -4.17109074E-03  6.71161985E-03
  4.64747544E-01  1.21039076E+00  8.60974881E-02  1.01051802E-03  6.08493234E-02 -4.18235440E-03  6.77138631E-03
  4.72943320E-01  1.20705594E+00  8.68320933E-02  1.02646339E-03  6.12327388E-02 -4.19356861E-03  6.83060494E-03
  4.81027501E-01  1.20372952E+00  8.75638818E-02  1.04036860E-03  6.16124538E-02 -4.20470345E-03  6.88925833E-03
  4.89001607E-01  1.20041147E+00  8.82949260E-02  1.05273957E-03  6.19889778E-02 -4.21572946E-03  6.94736706E-03
  4.96867138E-01  1.19710175E+00  8.90273803E-02  1.06378431E-03  6.23625617E-02 -4.22661419E-03  7.00497283E-03
  5.04625570E-01  1.19380044E+00  8.97630418E-02  1.07344517E-03  6.27331392E-02 -4.23732145E-03  7.06212347E-03
  5.12278364E-01  1.19050783E+00  9.05030378E-02  1.08147630E-03  6.31004308E-02 -4.24781251E-03  7.11886701E-03
  5.19826956E-01  1.18722429E+00  9.12478154E-02  1.08753573E-03  6.34641321E-02 -4.25804736E-03  7.17525220E-03
  5.27272766E-01  1.18395016E+00  9.19973187E-02  1.09127779E-03  6.38240341E-02 -4.26798564E-03  7.23132942E-03
  5.34617194E-01  1.18068575E+00  9.27511429E-02  1.09244245E-03  6.41801215E-02 -4.27758804E-03  7.28714882E-03
  5.41861619E-01  1.17743130E+00  9.35086294E-02  1.09092185E-03  6.45326531E-02 -4.28681829E-03  7.34275722E-03
  5.49007403E-01  1.17418695E+00  9.42689727E-02  1.08676931E-03  6.48820705E-02 -4.29564494E-03  7.39819558E-03
  5.56055890E-01  1.17095268E+00  9.50313261E-02  1.08014417E-03  6.52287530E-02 -4.30404147E-03  7.45349788E-03
